tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17,tag18,tag19,tag20,tag21,tag22,tag23,tag24,tag25,tag26,tag27,tag28,tag29,tag30,tag31,tag32,tag33,class
6,14,14,14,4,32,3,7,12,13,31,6,20,7,13,20,3,7,12,6,12,32,7,25,19,13,3,13,31,3,12,3,20,1
7,12,13,3,12,32,6,3,13,18,32,2,13,18,32,2,13,13,31,6,7,13,3,13,31,30,6,2,13,31,3,12,2,1
2,13,20,13,31,3,12,3,12,20,13,18,32,6,3,12,3,12,32,18,3,12,12,32,6,3,12,32,3,12,25,27,20,1
6,7,13,3,7,12,32,13,25,27,20,3,12,32,6,18,3,7,12,3,12,12,32,6,3,12,32,3,12,18,32,6,3,1
12,32,3,12,27,20,18,32,3,12,18,32,6,20,3,12,32,20,6,3,12,18,32,6,18,18,32,6,18,3,13,31,20,1
13,31,12,7,6,14,18,31,20,7,7,13,3,13,31,20,7,18,31,3,9,13,6,14,8,13,31,20,6,14,13,31,13,1
6,3,13,18,31,3,13,25,27,3,12,4,32,3,12,6,14,3,13,1,3,12,31,30,20,9,6,3,13,31,13,17,3,1
3,12,32,6,3,12,13,31,18,6,12,18,32,6,3,7,12,18,32,3,12,20,3,12,32,6,3,12,32,7,18,32,18,1
14,32,3,7,12,18,32,3,12,6,12,18,32,30,6,3,14,6,14,18,32,3,12,6,3,12,6,14,4,31,7,13,6,1
3,12,3,12,32,19,7,12,3,7,12,6,3,12,4,31,3,13,20,3,7,12,32,3,12,6,2,18,32,3,13,6,3,1
3,12,32,13,6,14,2,12,32,30,6,2,7,12,3,12,32,12,12,18,20,32,12,13,3,12,32,6,12,2,4,31,13,1
3,12,32,3,12,18,32,18,6,3,12,6,14,18,32,3,12,12,14,13,31,20,7,36,3,12,32,18,18,32,6,20,7,1
12,18,32,30,1,30,18,32,12,1,12,13,3,12,32,20,27,3,12,3,12,32,29,13,6,3,12,0,0,0,0,0,0,1
14,14,32,25,27,3,12,3,14,13,18,32,3,12,25,14,3,12,32,29,8,1,21,7,3,12,12,32,29,25,3,12,18,1
20,32,3,12,6,14,3,12,32,29,29,13,6,18,32,6,3,7,12,3,12,32,6,18,32,3,12,3,28,6,2,9,13,1
6,14,3,12,32,3,7,12,18,32,6,3,12,6,3,12,18,32,13,18,32,3,6,3,12,6,3,12,14,32,3,12,6,1
18,29,3,18,32,3,12,6,14,3,12,31,3,12,18,31,3,12,18,31,6,18,32,3,12,18,20,31,6,18,32,3,12,1
3,12,32,6,3,12,18,32,14,18,32,6,3,14,18,32,6,3,12,12,18,32,3,12,6,3,12,18,32,3,7,12,6,1
3,14,25,27,3,18,32,3,12,1,18,32,7,18,32,6,8,6,29,18,32,6,34,18,32,6,18,32,6,3,13,11,27,1
13,6,14,31,3,12,18,32,20,7,1,20,7,18,31,18,6,12,36,3,13,31,7,18,32,6,3,12,18,32,2,13,18,1
32,20,3,12,6,3,20,7,12,6,14,32,31,6,18,32,3,12,6,14,14,18,13,14,6,2,13,6,2,13,20,18,31,1
6,14,12,13,31,12,7,6,14,18,31,3,7,12,14,3,14,14,18,32,18,2,13,3,12,32,2,13,7,14,32,25,3,1
3,12,32,6,3,12,6,14,29,7,13,20,3,7,12,32,31,13,31,30,18,31,3,12,6,3,18,31,20,27,6,3,12,1
3,14,14,6,3,14,32,2,14,12,12,19,12,32,18,3,15,11,27,12,6,3,12,3,7,12,32,19,12,19,12,32,25,1
27,3,7,12,6,3,12,18,32,3,13,18,32,7,25,18,18,32,3,13,31,3,6,18,18,32,18,6,18,31,20,7,3,1
4,32,3,12,6,13,1,13,18,32,6,14,19,12,11,27,3,12,3,12,3,12,12,1,18,11,27,2,12,32,6,19,12,1
18,32,6,18,11,27,6,3,12,3,12,6,3,11,27,18,14,7,13,1,13,31,20,7,3,12,13,6,2,14,13,0,0,1
3,12,32,6,14,14,2,13,31,30,18,31,6,19,12,12,12,32,6,3,12,3,12,32,7,4,31,2,13,6,18,3,12,1
20,32,12,6,14,3,12,32,6,3,12,6,3,12,7,31,25,27,18,31,30,6,3,12,18,31,20,6,3,12,2,12,32,1
25,27,20,3,7,13,18,3,7,13,6,3,12,18,32,6,3,7,12,18,32,30,6,3,13,20,12,20,32,30,0,0,0,1
13,31,3,7,12,3,12,32,6,12,6,3,12,18,32,2,13,7,3,13,31,30,3,12,32,2,13,13,28,6,20,7,13,1
31,13,3,32,20,7,7,13,31,13,20,3,12,32,3,9,12,33,32,13,18,31,20,36,3,13,31,30,18,31,20,30,6,1
3,7,12,13,6,14,18,32,3,12,29,12,3,32,3,7,12,12,6,14,4,31,2,13,4,31,2,13,6,3,12,18,31,1
3,12,32,6,3,12,18,32,3,9,12,12,6,3,12,19,12,32,14,18,32,3,14,14,14,15,11,27,2,13,7,14,28,1
2,13,7,6,18,28,2,12,7,18,32,20,2,13,18,32,2,13,20,14,32,7,20,20,3,12,20,32,3,12,12,18,32,1
14,32,3,12,18,32,7,18,32,6,14,13,31,3,12,18,31,13,1,13,4,32,3,12,3,12,32,3,12,6,12,32,7,1
3,12,32,6,3,7,12,18,32,3,12,18,32,3,12,18,32,7,13,6,18,3,12,13,3,12,18,32,20,7,1,18,32,1
20,7,18,32,23,3,12,6,3,12,18,32,7,3,12,32,2,13,7,3,12,32,20,2,13,3,12,32,6,3,12,12,18,1
4,32,3,12,6,14,6,2,4,32,3,12,18,32,20,3,6,3,12,3,32,20,7,8,13,31,25,3,12,3,12,4,32,1
3,12,18,32,3,12,6,12,25,3,12,18,32,3,12,20,13,31,6,13,11,27,25,27,20,18,31,3,12,25,27,3,14,1
20,32,3,12,6,14,18,32,6,3,7,12,18,32,6,3,12,18,32,6,3,7,12,18,32,3,12,18,32,20,7,18,32,1
20,7,6,18,11,20,27,18,11,20,27,20,3,13,31,3,12,6,3,12,18,11,27,20,18,32,20,6,3,7,4,31,20,1
7,12,13,6,3,7,14,32,3,13,3,12,32,2,13,20,18,32,2,13,7,20,7,13,11,27,7,8,0,0,0,0,0,1
3,12,32,6,14,18,32,6,14,14,18,32,6,3,12,12,19,7,12,6,12,32,6,2,6,3,7,12,18,32,7,18,32,1
18,7,12,29,3,18,32,3,12,6,2,13,13,1,13,6,19,18,20,32,12,18,20,32,18,3,12,9,20,18,32,13,7,1
13,31,25,3,12,12,12,18,31,3,12,6,2,18,31,6,18,32,20,7,12,3,32,20,6,3,13,20,3,13,31,3,12,1
30,18,31,23,6,18,32,3,7,12,18,32,2,13,2,13,31,18,32,6,12,6,6,3,13,31,20,7,0,0,0,0,0,1
3,12,32,3,12,18,32,3,12,3,7,13,14,3,12,32,6,13,28,14,4,32,3,7,12,18,32,25,7,13,7,2,1,1
3,12,32,6,3,12,3,12,32,6,3,12,18,32,3,9,12,6,14,18,32,2,13,7,2,13,18,32,6,2,13,3,7,1
32,3,12,3,12,32,3,12,17,12,3,12,32,3,12,13,31,7,13,6,12,1,13,20,27,13,12,18,21,3,7,12,32,1
3,12,32,6,14,4,32,3,7,7,12,18,32,14,14,6,3,12,14,32,14,1,32,14,3,12,32,12,6,14,2,13,11,1
27,7,1,7,12,13,14,32,3,12,6,12,13,18,20,32,3,12,6,3,14,18,32,3,12,18,32,6,13,11,27,20,25,1
13,6,3,14,31,3,12,18,32,3,12,6,3,12,3,12,17,12,32,14,18,32,30,6,2,13,1,7,13,6,3,12,18,1
31,13,6,3,12,3,12,32,6,19,12,4,31,13,1,13,18,31,3,32,20,7,6,3,12,13,31,20,20,3,12,32,20,1
7,18,32,7,6,3,12,3,12,32,3,7,12,18,11,27,3,7,1,7,12,20,14,32,3,12,2,13,6,3,12,18,32,1
3,7,12,13,25,3,14,14,3,32,6,3,12,6,14,14,18,32,6,6,12,18,11,20,27,18,32,20,20,6,2,13,18,1
32,3,7,12,12,18,11,20,27,6,12,18,32,23,14,17,6,13,6,3,12,3,12,32,19,18,32,6,7,13,31,6,19,1
12,6,18,27,20,3,2,12,18,32,6,18,32,36,3,12,32,6,18,3,12,32,23,25,19,18,32,19,6,18,32,12,0,1
20,32,3,7,12,18,32,6,3,12,6,3,14,3,13,31,3,13,31,18,31,3,13,7,13,18,31,3,13,25,27,3,12,1
3,13,31,3,12,3,7,32,3,12,3,12,32,30,25,13,4,31,2,7,13,6,13,6,3,12,2,2,13,31,3,12,3,1
13,31,6,3,12,6,14,18,32,3,14,14,12,6,3,12,6,3,12,4,32,3,12,18,32,3,7,12,14,12,18,31,29,1
6,14,3,12,1,3,12,31,6,3,12,3,12,32,14,28,3,12,18,31,6,18,32,12,25,19,12,20,18,32,14,6,14,1
3,12,12,32,6,3,12,18,32,3,12,6,3,12,18,32,18,23,18,32,7,18,32,3,12,18,32,3,7,12,6,18,32,1
6,4,32,3,12,6,3,12,7,12,31,6,3,12,32,6,3,7,12,19,12,17,12,32,6,18,32,20,19,12,3,12,31,1
4,32,3,12,6,13,18,31,25,27,3,7,12,6,3,12,18,31,3,7,12,3,12,32,30,6,12,18,32,3,12,23,18,1
32,20,25,13,13,4,32,3,12,6,3,12,20,18,28,3,7,12,6,2,13,6,20,3,12,32,25,27,23,3,13,20,27,1
13,1,19,13,31,25,3,12,6,14,18,31,25,12,14,12,32,3,12,6,14,14,31,25,27,3,13,31,25,27,12,3,12,1
31,18,6,13,20,9,13,31,20,20,2,12,6,14,32,18,18,32,3,12,12,18,32,23,2,12,12,6,13,2,12,6,13,1
32,6,2,3,12,32,3,12,3,12,6,12,13,31,12,13,1,12,6,7,12,18,31,3,12,6,13,0,0,0,0,0,0,1
3,12,6,14,32,3,12,3,12,1,3,12,31,6,3,12,3,12,12,1,32,6,3,12,3,12,32,7,6,12,18,32,25,1
27,3,12,32,6,19,12,32,7,6,3,12,3,12,32,25,27,3,12,1,3,12,31,6,2,12,3,12,32,29,13,6,25,1
3,12,12,32,6,3,12,6,14,18,32,20,20,18,32,7,30,1,7,6,13,20,13,31,18,18,31,18,25,3,12,33,32,1
3,12,32,3,12,6,14,18,32,3,7,12,2,8,13,31,13,31,30,2,13,31,30,7,13,31,25,27,18,4,31,20,13,1
3,12,32,6,3,12,12,6,3,12,6,14,14,7,9,2,13,31,14,12,6,3,12,18,31,13,20,6,3,12,12,1,3,1
7,7,12,3,12,32,25,27,23,21,18,20,32,3,12,25,27,7,1,25,27,25,3,12,3,12,32,6,7,7,13,6,14,1
3,12,32,25,27,12,20,18,32,12,25,27,6,18,32,3,12,6,19,12,18,32,20,7,18,32,3,12,6,19,12,3,12,1
32,3,12,18,32,6,19,12,20,18,32,13,6,19,12,18,32,3,13,20,1,27,18,20,3,13,31,3,12,19,13,31,7,1
3,7,32,3,7,12,12,18,32,2,13,7,18,32,6,14,18,32,3,7,12,31,12,18,32,2,12,13,6,19,12,18,32,1
14,14,32,3,22,7,12,12,18,32,13,3,7,12,20,6,2,6,19,13,31,20,2,12,32,30,3,14,14,18,32,18,6,1
2,18,32,7,13,6,13,3,7,32,3,12,12,13,18,6,18,3,32,6,2,13,20,3,12,32,19,7,3,12,6,2,18,1
2,13,31,13,1,27,18,6,14,18,31,3,7,12,3,12,7,13,6,7,12,3,13,31,3,7,12,18,32,20,20,7,6,1
3,12,18,31,23,3,12,2,6,3,13,32,20,25,18,18,32,30,6,13,6,3,12,3,13,31,3,6,2,13,18,12,7,1
3,32,6,14,14,14,14,12,12,13,6,19,12,12,3,7,12,32,3,7,12,18,32,3,12,20,4,31,3,13,6,3,12,1
3,12,32,29,25,27,18,32,25,27,6,3,12,18,32,3,12,18,32,6,3,12,12,28,3,12,4,31,2,13,6,3,12,1
3,7,12,32,30,13,28,19,12,18,32,6,12,19,12,32,19,12,18,32,18,6,19,12,3,12,32,6,19,12,32,8,18,1
32,6,18,32,6,8,12,7,7,13,31,7,7,8,15,31,18,25,19,13,25,27,18,20,12,32,20,7,6,3,14,13,11,1
3,12,32,6,14,14,12,32,2,13,2,6,18,31,13,2,6,18,32,3,12,18,32,8,6,3,13,19,12,13,29,18,3,1
13,31,3,7,12,19,7,12,32,3,12,3,13,31,29,3,7,12,18,31,19,7,12,18,31,6,19,7,13,1,12,18,31,1
3,12,6,12,3,12,31,20,7,12,32,18,18,31,13,20,12,32,3,12,18,11,20,27,20,18,11,27,19,7,13,20,20,1
14,28,3,13,6,12,13,6,2,12,6,14,4,31,20,7,13,18,31,16,3,13,1,27,3,13,20,18,31,12,25,27,13,1
3,12,6,14,32,3,12,18,32,20,7,18,32,6,3,12,3,12,32,2,13,20,13,31,3,14,14,6,3,12,3,2,13,1
31,20,18,32,3,9,12,6,3,14,14,18,32,6,14,3,12,32,25,27,7,6,3,13,18,31,12,25,27,2,3,12,32,1
7,18,11,27,6,13,6,12,3,12,32,7,13,18,31,25,27,3,12,3,12,11,27,3,14,12,6,18,0,0,0,0,0,1
6,14,14,13,31,29,6,6,3,12,3,13,31,7,13,6,19,12,3,13,31,6,13,6,2,12,12,28,3,13,6,7,12,1
3,13,31,6,19,12,13,6,3,7,12,2,12,32,3,12,18,32,12,18,32,3,12,6,13,31,6,18,0,0,0,0,0,1
3,32,6,14,14,13,31,29,3,12,3,12,32,23,6,2,13,12,13,18,6,3,7,12,13,31,25,27,3,12,14,28,2,1
6,3,13,3,12,32,6,19,12,13,31,7,12,18,31,36,25,7,13,3,12,32,20,27,33,32,3,7,12,0,0,0,0,1
3,7,12,32,30,6,14,18,32,7,20,3,12,32,3,12,13,3,12,1,3,7,12,12,32,7,20,6,3,12,20,3,12,1
1,3,12,7,13,31,30,18,31,19,12,2,12,32,3,12,3,22,4,32,3,12,6,3,12,3,12,32,6,3,12,11,27,1
3,32,6,3,14,3,12,32,19,12,20,6,3,12,18,32,3,12,3,7,13,6,19,12,12,18,32,6,3,7,3,12,32,1
19,12,25,12,3,12,18,32,3,12,6,3,14,13,31,3,12,18,31,6,18,31,3,12,18,28,18,20,0,0,0,0,0,1
12,15,32,3,12,18,32,20,20,18,32,7,18,32,2,13,7,18,32,6,3,12,18,12,6,3,7,12,3,12,32,23,21,1
20,32,12,6,14,13,31,3,13,3,13,31,20,7,18,31,3,13,6,13,3,13,31,6,2,2,13,7,3,13,31,7,25,1
3,13,3,13,31,20,7,4,31,3,12,6,18,20,13,31,3,13,20,20,3,13,11,27,18,34,3,7,12,0,0,0,0,1
20,32,12,6,14,29,7,13,20,4,31,2,13,6,3,12,20,20,2,12,32,7,18,32,3,12,6,3,12,3,7,2,13,1
18,32,20,7,6,14,8,6,3,7,13,31,6,2,13,18,32,3,7,12,3,14,14,32,6,2,2,13,31,12,7,13,11,1
27,6,18,31,3,12,13,6,13,31,25,14,17,12,3,7,12,6,14,32,6,18,32,20,7,6,7,13,6,3,12,7,13,1
13,31,3,7,12,25,12,13,6,14,18,31,12,13,25,27,7,13,6,3,13,17,13,3,7,13,31,3,12,18,20,31,12,1
6,3,13,3,12,32,18,36,3,13,31,19,12,3,13,31,25,27,3,13,3,12,31,18,34,3,13,17,12,32,6,0,0,1
3,32,6,14,14,6,19,7,12,13,31,19,12,3,12,32,6,14,25,14,18,32,6,7,13,3,7,12,6,12,32,2,25,1
2,13,20,13,1,7,13,31,3,6,3,12,25,27,3,13,13,31,3,6,3,12,25,27,3,13,18,31,6,3,13,6,13,1
4,32,3,7,12,6,14,18,32,3,12,12,18,32,2,13,20,18,11,27,6,3,12,4,32,3,7,12,1,13,4,32,20,1
3,7,12,6,3,12,18,11,27,6,3,12,3,12,32,2,13,18,32,6,14,17,12,32,3,9,12,12,6,3,12,18,32,1
3,12,13,6,14,14,6,9,2,12,32,3,12,32,6,2,13,18,13,3,2,13,14,12,32,20,30,13,31,12,25,3,12,1
13,12,3,12,6,2,3,13,31,6,14,14,18,31,3,12,6,14,20,3,12,32,29,18,32,3,12,18,32,3,12,18,32,1
3,7,12,12,13,20,18,32,20,18,32,20,19,12,32,20,27,6,3,3,12,32,25,3,12,18,28,18,13,31,6,3,12,1
18,32,3,12,6,14,6,13,31,6,12,18,31,19,13,18,31,3,12,14,13,31,18,7,13,31,3,12,4,32,3,7,12,1
4,31,20,7,7,12,13,6,3,14,13,31,20,27,18,4,32,3,12,33,32,12,3,12,32,3,12,18,32,3,7,12,18,1
32,3,7,12,13,6,18,18,32,3,7,12,6,29,12,6,14,18,32,2,6,13,33,13,31,6,29,12,3,12,32,6,13,1
3,12,32,29,6,3,12,18,32,3,12,12,18,32,6,14,14,14,12,32,6,3,12,18,32,6,3,12,6,3,12,3,12,1
32,18,32,23,18,32,3,7,12,3,12,32,18,6,12,3,12,32,29,6,3,12,18,32,3,6,3,18,20,32,25,3,12,1
14,14,32,3,7,14,18,32,3,14,14,18,32,14,18,32,20,20,7,13,31,13,6,3,13,3,13,31,6,3,12,12,32,1
4,32,3,12,6,14,3,12,32,30,6,2,13,4,31,13,6,18,6,14,2,13,31,18,31,6,6,19,13,6,13,14,1,1
3,12,32,6,3,12,18,32,3,14,14,18,32,30,6,14,18,32,3,7,7,12,18,11,27,6,3,14,2,1,3,14,2,1
3,12,32,3,12,12,18,11,20,27,6,19,13,20,4,32,7,12,18,32,3,12,27,19,7,12,1,12,20,4,31,13,6,1
19,12,18,28,19,12,18,31,13,25,3,12,3,12,32,3,13,6,19,12,25,27,3,12,32,2,13,7,18,32,3,7,12,1
7,13,31,7,3,7,12,18,32,6,14,14,31,6,3,12,32,18,6,13,18,31,6,18,32,12,3,12,32,3,12,19,12,1
32,3,12,18,32,6,3,12,31,20,29,3,12,14,32,3,7,12,3,7,12,6,3,12,13,6,14,12,2,13,31,30,7,1
20,32,12,6,3,14,12,3,13,31,6,6,3,9,3,31,7,13,18,31,20,6,19,12,18,31,20,27,6,7,13,12,28,1
3,12,3,13,31,13,18,31,13,1,13,3,7,13,31,25,18,18,31,18,12,3,13,6,3,9,31,3,12,1,18,31,7,1
4,32,3,7,12,6,3,7,12,6,14,18,32,7,6,19,7,12,18,32,20,27,13,6,29,19,13,6,18,3,12,32,20,1
20,7,7,14,18,32,6,2,1,2,13,6,3,7,12,25,27,20,3,12,32,6,7,12,3,12,32,13,19,12,7,13,31,1
14,14,32,6,14,14,14,12,32,3,12,20,18,32,7,18,32,2,13,2,13,18,32,3,9,12,6,14,14,6,2,13,3,1
3,12,32,6,3,14,18,32,3,12,3,7,13,20,18,32,3,13,20,1,27,18,20,18,32,3,12,6,3,3,12,32,3,1
2,13,20,3,12,14,14,32,20,3,14,12,32,25,27,12,25,18,3,12,32,36,18,32,6,3,12,18,32,19,12,18,32,1
3,12,32,6,3,12,6,14,18,32,3,7,12,3,12,32,6,3,12,3,7,12,32,6,3,12,3,12,32,6,7,12,18,1
32,29,20,25,3,12,3,12,32,18,3,12,11,27,18,3,13,31,3,12,2,6,18,32,3,7,12,18,1,18,32,12,7,1
14,13,31,6,2,13,18,31,6,14,25,14,18,31,25,27,7,13,18,31,25,27,19,12,6,3,12,2,28,7,27,18,6,1
14,18,31,6,18,3,12,12,32,6,3,12,32,20,3,12,18,32,6,3,12,32,6,7,13,18,32,25,27,6,3,12,32,1
6,14,4,32,3,7,12,12,18,32,6,13,13,31,6,3,12,6,3,12,12,12,3,12,12,32,6,2,12,13,18,31,6,1
3,12,12,4,31,7,13,20,25,12,18,18,31,6,3,12,12,6,2,25,2,13,6,3,12,3,12,32,3,12,14,31,7,1
4,32,12,6,14,6,13,31,3,12,13,11,20,27,12,18,32,20,27,7,13,4,32,20,7,12,6,13,2,2,13,32,30,1
6,14,3,7,12,13,6,3,12,13,31,18,18,31,18,20,25,3,12,18,31,18,25,3,7,12,18,32,6,2,13,25,3,1
12,6,3,7,13,18,32,20,1,13,14,32,7,13,13,31,6,4,31,20,2,6,18,28,6,3,12,0,0,0,0,0,0,1
6,14,3,12,32,19,12,18,32,18,6,3,7,12,18,32,18,2,13,25,27,19,12,20,18,32,20,25,3,12,18,32,20,1
20,3,12,32,6,19,12,32,13,31,6,29,6,18,32,19,12,3,12,32,3,13,18,32,3,6,13,6,14,31,7,13,18,1
6,14,3,12,32,29,25,3,14,12,12,14,12,6,3,12,18,31,2,7,15,12,32,12,6,3,12,20,7,12,3,14,14,1
13,15,20,3,7,12,32,8,12,6,3,15,3,12,32,6,18,11,27,34,32,18,20,14,13,27,29,6,18,11,27,3,15,1
6,2,3,12,32,19,12,18,32,3,12,3,32,6,14,20,3,12,6,14,32,3,12,6,3,20,7,12,3,12,32,3,12,1
25,3,13,18,32,6,18,32,3,7,12,6,14,18,32,20,7,6,18,18,32,2,6,3,22,7,13,6,19,12,6,3,12,1
3,12,32,6,3,12,18,32,6,14,14,12,32,3,12,6,3,12,3,12,32,3,12,6,18,32,3,12,14,3,12,32,3,1
7,12,3,12,32,3,18,32,3,12,27,8,6,3,12,6,3,12,3,12,11,27,2,13,20,18,11,27,2,13,2,13,2,1
20,32,3,12,6,3,14,12,18,32,20,7,13,18,11,27,3,12,12,13,31,18,6,12,1,3,13,11,27,3,2,13,31,1
19,13,6,3,12,2,6,18,31,2,12,32,20,27,25,27,18,32,6,6,3,12,20,7,13,11,27,3,12,6,3,12,3,1
3,12,32,6,13,34,31,13,18,32,6,3,12,6,13,18,31,3,12,20,3,12,32,7,13,20,18,20,32,3,12,13,11,1
27,3,12,6,12,13,11,27,3,12,20,3,13,31,25,27,3,14,7,13,31,20,27,3,18,31,6,18,18,31,3,12,18,1
32,30,3,14,14,14,18,32,3,12,12,6,19,12,20,3,12,32,12,6,3,12,13,31,3,7,12,12,32,3,12,25,13,1
3,12,32,6,3,12,18,20,32,12,18,32,3,2,13,18,32,19,12,6,3,12,6,3,12,19,12,32,20,18,32,6,7,1
4,32,3,7,12,12,6,14,18,32,3,12,18,32,13,29,13,3,12,32,7,13,3,12,1,3,12,6,12,13,31,30,25,1
3,14,14,14,32,3,7,12,12,7,13,31,25,3,12,18,31,6,7,13,3,12,32,12,3,32,3,7,12,6,3,12,6,1
2,12,3,13,31,20,18,31,6,3,7,12,3,11,27,7,20,18,32,19,13,20,13,11,27,25,13,13,11,27,18,34,18,1
31,1,31,20,6,3,12,17,12,32,6,18,32,13,25,27,6,3,12,6,12,4,31,20,2,7,13,6,3,12,0,0,0,1
3,12,32,6,3,12,18,32,6,3,14,18,32,3,12,12,18,32,25,14,18,32,3,12,3,12,32,30,6,12,4,32,3,1
12,6,3,12,18,32,2,13,20,3,12,32,6,18,18,32,20,27,16,3,12,20,18,32,20,6,3,12,18,11,20,27,19,1
3,12,32,3,12,6,3,12,18,32,18,1,19,7,12,3,12,18,31,6,4,31,13,6,18,18,31,18,18,31,12,18,31,1
2,2,6,12,12,3,12,32,3,12,3,13,31,3,12,20,6,12,13,31,6,14,13,31,3,12,36,18,31,14,6,2,0,1
6,14,4,32,3,12,6,12,13,7,13,31,3,14,13,18,32,14,6,12,18,32,14,14,17,7,13,6,3,7,12,3,32,1
3,7,15,6,14,14,13,31,6,14,17,12,3,13,31,20,7,6,14,14,18,31,6,18,18,32,20,25,27,3,12,6,3,1
12,18,32,25,27,6,14,20,3,12,6,7,15,7,14,14,17,13,2,6,18,32,6,3,12,11,27,14,14,17,12,6,14,1
3,12,32,6,3,12,18,32,25,27,23,3,12,29,13,18,32,3,12,6,12,3,12,13,3,12,32,6,3,12,3,12,32,1
18,32,3,12,12,15,31,18,18,31,3,13,6,14,3,13,31,2,13,6,14,14,13,31,6,12,1,12,7,13,31,6,3,1
14,6,3,14,18,31,25,27,19,12,13,20,31,7,12,18,31,6,3,12,11,27,18,27,12,6,3,12,0,0,0,0,0,1
3,12,32,6,3,12,6,14,18,32,6,3,12,3,12,32,20,3,12,32,3,12,13,31,3,13,6,3,12,3,12,12,32,1
3,12,32,29,3,12,12,12,18,32,6,3,12,6,14,4,32,3,12,3,12,32,3,12,14,32,4,31,13,6,3,13,2,1
6,2,25,2,2,2,13,31,6,14,3,14,14,12,28,18,13,6,14,31,3,14,14,1,3,14,14,18,11,20,27,20,6,1
3,12,32,3,12,3,12,32,3,12,3,12,6,3,12,32,3,12,6,12,25,3,12,20,3,12,32,6,3,12,18,32,6,1
3,12,20,18,32,3,12,1,18,32,20,3,12,32,3,12,3,12,32,3,12,20,18,32,25,27,3,12,3,12,3,12,32,1
20,27,18,18,32,20,6,13,3,32,20,2,7,13,3,12,32,3,12,3,12,28,6,3,12,6,20,3,12,32,21,7,0,1
6,14,14,12,32,23,3,12,3,12,32,6,3,12,3,12,32,6,7,13,31,20,3,7,12,12,32,25,3,12,18,31,6,1
3,12,32,7,14,14,6,13,31,23,21,6,3,12,18,32,30,25,27,7,18,32,20,30,25,27,7,3,12,32,12,6,3,1
12,12,3,12,32,6,3,7,12,18,32,23,2,13,6,14,3,12,32,6,18,32,7,18,32,6,19,13,31,3,7,13,17,1
